name,date,day,type
Bhogi,2026-01-14,Wednesday,normal
Sankranti / Pongal,2026-01-15,Thursday,normal
Republic Day,2026-01-26,Monday,normal
Holi,2026-03-03,Tuesday,normal
Ugadi,2026-03-19,Thursday,normal
Eidul Fitr (Ramzan),2026-03-21,Saturday,weekend
Sri Rama Navami,2026-03-27,Friday,normal
Good Friday,2026-04-03,Friday,normal
Dr BR Ambedkar’s Birthday,2026-04-14,Tuesday,normal
Eidul Azha (Bakrid),2026-05-27,Wednesday,normal
Shahadat Imam Hussain (R.A) 10th Moharam,2026-06-26,Friday,normal
Bonalu,2026-08-10,Monday,normal
Independence Day,2026-08-15,Saturday,weekend
Eid Miladun Nabi,2026-08-26,Wednesday,normal
Sri Krishna Astami,2026-09-04,Friday,normal
Vinayaka Chavithi,2026-09-14,Monday,normal
Mahatma Gandhi Jayanthi,2026-10-02,Friday,normal
Vijaya Dasami,2026-10-20,Tuesday,normal
Following Day of Vijaya Dasami,2026-10-21,Wednesday,normal
Kartika Purnima / Guru Nanak’s Birthday,2026-11-24,Tuesday,normal
Christmas,2026-12-25,Friday,normal
Boxing Day,2026-12-26,Saturday,weekend
Maha Shivaratri,2026-02-15,Sunday,weekend
Following Day of Ramzan,2026-03-22,Sunday,weekend
Babu Jagjivan Ram’s Birthday,2026-04-05,Sunday,weekend
Saddula Bathukamma,2026-10-18,Sunday,weekend
Deepavali,2026-11-08,Sunday,weekend
